Country,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
Spain,2025-05-22,Sunny,21.0,14.1,0.0,28.1,Low Precipitation (Drought Risk)
Spain,2025-05-23,Sunny,22.6,10.1,0.0,21.2,Low Precipitation (Drought Risk)
Spain,2025-05-24,Sunny,23.3,10.5,0.0,14.0,Low Precipitation (Drought Risk)
Spain,2025-05-25,Sunny,25.0,14.7,0.0,13.0,Low Precipitation (Drought Risk)
Poland,2025-05-19,Patchy rain nearby,15.7,4.1,0.6,24.8,Low Precipitation (Drought Risk)
Poland,2025-05-20,Sunny,20.3,6.8,0.0,18.4,Low Precipitation (Drought Risk)
Poland,2025-05-21,Sunny,22.2,9.9,0.0,15.5,Low Precipitation (Drought Risk)
Poland,2025-05-22,Moderate rain,16.9,12.7,6.75,17.6,No Significant Risks
Poland,2025-05-23,Cloudy ,13.7,8.1,0.01,19.4,Low Precipitation (Drought Risk)
Poland,2025-05-24,Sunny,16.1,7.1,0.06,18.7,Low Precipitation (Drought Risk)
Poland,2025-05-25,Partly Cloudy ,19.5,7.7,0.0,17.3,Low Precipitation (Drought Risk)
Romania,2025-05-19,Patchy rain nearby,22.5,10.5,0.32,37.4,Low Precipitation (Drought Risk)
Romania,2025-05-20,Sunny,21.9,8.1,0.01,15.1,Low Precipitation (Drought Risk)
Romania,2025-05-21,Patchy rain nearby,23.7,10.5,0.4,9.7,Low Precipitation (Drought Risk)
Romania,2025-05-22,Patchy rain nearby,26.2,14.1,1.19,13.3,Low Precipitation (Drought Risk)
Romania,2025-05-23,Sunny,27.1,14.1,0.0,14.8,Low Precipitation (Drought Risk)
Romania,2025-05-24,Patchy rain nearby,25.2,16.3,4.59,18.4,Low Precipitation (Drought Risk)
Romania,2025-05-25,Patchy rain nearby,13.9,11.4,3.76,15.1,Low Precipitation (Drought Risk)
Chile,2025-05-19,Moderate rain,17.8,12.4,16.69,9.4,Heavy Rain (Flooding Risk)
Chile,2025-05-20,Partly Cloudy ,20.9,11.6,0.03,4.7,Low Precipitation (Drought Risk)
Chile,2025-05-21,Patchy rain nearby,22.0,12.0,0.12,7.2,Low Precipitation (Drought Risk)
Chile,2025-05-22,Overcast ,22.0,11.8,0.0,5.4,Low Precipitation (Drought Risk)
Chile,2025-05-23,Partly Cloudy ,20.9,11.4,0.0,5.8,Low Precipitation (Drought Risk)
Chile,2025-05-24,Partly Cloudy ,18.2,10.8,0.0,4.7,Low Precipitation (Drought Risk)
Chile,2025-05-25,Sunny,22.7,9.7,0.0,4.7,Low Precipitation (Drought Risk)
Netherlands,2025-05-19,Sunny,20.0,8.1,0.0,17.6,Low Precipitation (Drought Risk)
Netherlands,2025-05-20,Partly Cloudy ,19.4,9.7,0.0,16.9,Low Precipitation (Drought Risk)
Netherlands,2025-05-21,Sunny,16.0,8.5,0.0,19.8,Low Precipitation (Drought Risk)
Netherlands,2025-05-22,Sunny,15.2,7.9,0.06,24.5,Low Precipitation (Drought Risk)
Netherlands,2025-05-23,Patchy rain nearby,11.6,7.0,0.32,22.3,Low Precipitation (Drought Risk)
Netherlands,2025-05-24,Patchy rain nearby,16.6,6.3,1.17,24.5,Low Precipitation (Drought Risk)
Netherlands,2025-05-25,Patchy rain nearby,17.2,12.9,1.35,28.1,Low Precipitation (Drought Risk)
Belgium,2025-05-19,Sunny,20.5,7.3,0.0,14.8,Low Precipitation (Drought Risk)
